58207|31|12|480dpi|1080x2168|samsung|a52sxq|SM-A528B|qcom|379517348|Instagram 241.1.0.18.114 Android (31/12; 480dpi; 1080x2168; samsung; SM-A528B; a52sxq; qcom; en_US; 379517348)
58208|30|11|440dpi|1080x2168|Xiaomi|curtana|Redmi Note 9S|qcom|381185749|Instagram 242.0.0.16.111 Android (30/11; 440dpi; 1080x2168; Xiaomi/Redmi; Redmi Note 9S; curtana; qcom; it_IT; 381185749)
58209|30|11|440dpi|1080x2196|Xiaomi|merlinnfc|M2003J15SC|mt6768|381185517|Instagram 242.0.0.16.111 Android (30/11; 440dpi; 1080x2196; Xiaomi/Redmi; M2003J15SC; merlinnfc; mt6768; it_IT; 381185517)
58210|28|9|420dpi|1080x2094|samsung|dream2lte|SM-G955F|samsungexynos8895|381185749|Instagram 242.0.0.16.111 Android (28/9; 420dpi; 1080x2094; samsung; SM-G955F; dream2lte; samsungexynos8895; it_IT; 381185749)
58211|30|11|440dpi|1080x2253|Xiaomi|eos|21061119DG|mt6768|381185749|Instagram 242.0.0.16.111 Android (30/11; 440dpi; 1080x2253; Xiaomi/Redmi; 21061119DG; eos; mt6768; it_IT; 381185749)
58212|29|10|408dpi|1080x2208|HUAWEI|HWJNY|JNY-LX1|kirin810|350971659|Instagram 222.0.0.15.114 Android (29/10; 408dpi; 1080x2208; HUAWEI; JNY-LX1; HWJNY; kirin810; it_IT; 350971659)
58213|30|11|560dpi|1440x2935|samsung|y2s|SM-G986B|exynos990|381185509|Instagram 242.0.0.16.111 Android (30/11; 560dpi; 1440x2935; samsung; SM-G986B; y2s; exynos990; it_IT; 381185509)
58214|31|12|420dpi|1080x2186|samsung|a51|SM-A515F|exynos9611|379517355|Instagram 241.1.0.18.114 Android (31/12; 420dpi; 1080x2186; samsung; SM-A515F; a51; exynos9611; it_IT; 379517355)
58215|30|11|440dpi|1080x2167|Xiaomi|camellian|M2103K19G|mt6833|381185749|Instagram 242.0.0.16.111 Android (30/11; 440dpi; 1080x2167; Xiaomi/Redmi; M2103K19G; camellian; mt6833; it_IT; 381185749)
58216|31|12|440dpi|1080x2272|Xiaomi|vili|2107113SG|qcom|381185749|Instagram 242.0.0.16.111 Android (31/12; 440dpi; 1080x2272; Xiaomi; 2107113SG; vili; qcom; it_IT; 381185749)    
58217|29|10|440dpi|1080x2131|Xiaomi|lavender|Redmi Note 7|qcom|374667213|Instagram 238.0.0.14.112 Android (29/10; 440dpi; 1080x2131; Xiaomi/xiaomi; Redmi Note 7; lavender; qcom; it_IT; 374667213)
58218|29|10|408dpi|1080x2208|HUAWEI|HWJNY|JNY-LX1|kirin810|352705718|Instagram 224.0.0.0.91 Android (29/10; 408dpi; 1080x2208; HUAWEI; JNY-LX1; HWJNY; kirin810; it_IT; 352705718)
58219|29|10|440dpi|1080x2134|Xiaomi|begonia|Redmi Note 8 Pro|mt6785|378116740|Instagram 240.2.0.18.107 Android (29/10; 440dpi; 1080x2134; Xiaomi/Redmi; Redmi Note 8 Pro; begonia; mt6785; it_IT; 378116740)
